,index,Class,Text
974,26870,Books,"Deep Learning (Adaptive Computation and Machine Learning series) Review [T]he AI bible... the text should be mandatory reading by all data scientists and machine learning practitioners to get a proper foothold in this rapidly growing area of next-gen technology. -Daniel D. Gutierrez, insideBIGDATA 				    	 					 About the Author Ian Goodfellow is a Research Scientist at Google. Yoshua Bengio is Professor of Computer Science at the Universite de Montreal. Aaron Courville is Assistant Professor of Computer Science at the Universite de Montreal."
975,26871,Books,"Human + Machine: Reimagining Work in the Age of AI Review Named one of the ""Best Business Books of 2018"" by Fortune CEO Daily .."".the authors bring to life the realities of modern management. Readers gain a tactile sense of how technology changes business over time and why 'the robots are coming' is no scarier an observation than ever before."" -- The Wall Street Journal Advance Praise for Human + Machine Klaus Schwab, Founder and Executive Chairman, World Economic Forum-- ""A richly detailed guidebook that leaders need to capture the opportunities of AI and the fourth industrial revolution."" Satya Nadella, CEO, Microsoft-- ""Daugherty and Wilson advance the conversation we need to have about the future of computer and human collaboration . . . With grounded skill and enthusiasm, the authors have delivered a roadmap that welcomes us to a productive future."" Erik Brynjolfsson, Director, MIT Initiative on the Digital Economy-- ""Human + Machine shines new light on our burning need to reinvent nearly everything about the way we work. Daugherty and Wilson have hands-on experience leading these changes, giving this book an exceptional level of credibility and insight. Have your whole team read it before your competitors do!"" Arianna Huffington, founder and CEO, Thrive Global-- ""Daugherty and Wilson give a blueprint for a future in which AI augments our humanity . . . the book is a practical guide to understanding AI--what it means in our lives and how we can make the most of it."" Henning Kagermann, President, acatech; former Chairman and CEO, SAP-- ""Daugherty and Wilson answer the fundamental question, how do we help our workforce transition into the age of AI? Without question, Human + Machine is the handbook you need to move forward."" Missy Cummings, professor, Pratt School of Engineering; Director, Humans and Autonomy Laboratory, Duke University-- ""A must-read for business managers who know AI should be a big part of their job but find the topic intimidating and confusing."" Marc Benioff, Chairman and CEO, Salesforce-- ""Human + Machine is a roadmap to the future--read it if you're serious about understanding the impact of AI and how it is driving growth."" Doug McMillon, President and CEO, Walmart-- ""Human + Machine shows how jobs and tasks can be rethought and redesigned such that people and machines achieve more effective, efficient outcomes together. The book's practical and valuable examples bring the future to life."" 				    	 					 About the Author New York City-based Paul R. Daugherty (@PaulDaugh) is the Chief Technology and Innovation Officer of Accenture. He leads Accenture's AI initiatives, as well as its R&D facilities around the world. San Francisco-based H. James (Jim) Wilson (@HJamesWilson) is Managing Director of Information Technology and Business Research at Accenture Research. He is the coauthor of What's the Big Idea? Creating and Capitalizing on the Best Management Thinking (Harvard Business Review Press). Author social media/website info: Daugherty: accenture.com/us-en/company-paul-daugherty, twitter.com/pauldaugh, linkedin.com/in/paul-r-daugherty/ Wilson: accenture.com/us-en/company-james-wilson, twitter.com/hjameswilson, linkedin.com/in/h-james-wilson"
976,26894,Books,"Flashforge Adventurer 3 3D Printer This is newly introduced 3d printer by flashforge known as adventurer 3. The features of the product as follows: Build size:-150x150x150mm,patented removable extruder structure, no leveling printing, nozzle is made up of stainless steal with a very fast heating up speed 50 seconds to heat up from 20°c to 200°c.Removable and heatable and bendable plate made up of shape memory material plate heats evenly, supports bending without deformation. Built in filament cartridge with auto filament loading/unloading function. Adventurer 3 has a built-in monitor camera. You can check real time printing process and result after connect the camera to internet. Flash cloud and polar cloud achieving cloud management for 3d printers and the uploading and storage of 3d printing files into a massive database connecting with social sharing function."
977,26975,Books,Operating Systems: Internals and Design Principles 
978,26997,Books,Python: The Complete Reference 
979,27010,Books,"Cracking the Coding Interview: 189 Programing Questions and Solutions About the Author Gayle Laakmann McDowell is the founder and CEO of CareerCup and the author of Cracking the PM Interview and Cracking the Tech Career.   Her background is in software development. She has worked as a software engineer at Google, Microsoft, and Apple. At Google, she interviewed hundreds of software engineers and evaluated thousands of hiring packets on the hiring committee. She holds a B.S.E. and M.S.E. in computer science from the University of Pennsylvania and an MBA from the Wharton School.   She now consults with tech companies to improve their hiring process and with startups to prepare them for acquisition interviews."
980,27035,Books,Spacecraft Attitude Dynamics (Dover Books on Aeronautical Engineering) 
981,27039,Books,"Aircraft Propulsion About the Author Mayur R. Anvekar is Assistant Professor in the Department of Aeronautical Engineering at Nitte Meenakshi Institute of Technology (NMIT), Bangalore. He has received two gold medals from the Visvesvaraya Technological University. He has published technical papers on pulse detonation engine and fuel injection. His primary interests include detonation, combustion and fuel injection."
982,27046,Books,Aircraft Gas Turbine Engine Technology 
983,27071,Books,"Introduction to Biotechnology, 3e "
984,27087,Books,"IIT JAM Biotechnology Solved Papers and Practice Sets About the Author An editorial team of highly skilled professionals at Arihant, works hand in glove to ensure that the students receive the best and accurate content through our books. From inception till the book comes out from print, the whole team comprising of authors, editors, proofreaders and various other involved in shaping the book put in their best efforts, knowledge and experience to produce the rigorous content the students receive. Keeping in mind the specific requirements of the students and various examinations, the carefully designed exam oriented and exam ready content comes out only after intensive research and analysis. The experts have adopted whole new style of presenting the content which is easily understandable, leaving behind the old traditional methods which once used to be the most effective. They have been developing the latest content & updates as per the needs and requirements of the students making our books a hallmark for quality and reliability for the past 15 years."
985,27115,Books,Chemical Engineering GATE 2019 About the Author An editorial team of highly skilled professionals at Arihant works hand in glove to ensure that the students receive the best and accurate content through our books. From inception till the book comes out from print the whole team comprising of authors editors proof-readers and various other involved in shaping the book put in their best efforts knowledge and experience to produce the rigorous content the students receive. Keeping in mind the specific requirements of the students and various examinations the carefully designed exam oriented and exam ready content comes out only after intensive research and analysis. The experts have adopted whole new style of presenting the content which is easily understandable leaving behind the old traditional methods which once used to be the most effective. They have been developing the latest content and updates as per the needs and requirements of the students making our books a hallmark for quality and reliability for the past 15 years.
986,27117,Books,"Unit Operations of Chemical Engineering About the Author Warren McCabe (Deceased) Julian Smith, Cornell University Ithaca Peter Harriott, Cornell University Ithaca"
987,27123,Books,Introduction to Chemical Engineering Thermodynamics: Special Indian Edition 
988,27130,Books,ESE 2019 : Civil Engineering ESE Topicwise Objective Solved Paper - 1 
989,27152,Books,Objective Type and Conventional Questions and Answers On Civil Engineering 
990,27185,Books,Environmental Engineering 
991,27263,Books,"Nuclear Reactor Engineering, Reactor Design Basics: v. 1 This classic reference combines broad, yet in-depth coverage of nuclear engineering principles with practical descriptions of their application in the design and operation of nuclear power plants."
992,27294,Books,Shark in the Park (Usborne Phonics Readers) 
993,27309,Books,"Martbaan About the Author तहज़ीब के शहर लखनऊ में जन्म और परवरिश। मास कम्युनिकेशन में लखनऊ यूनिवर्सिटी से परास्नातक। कविता जीवन में प्रेम की तरह उपस्थित। हिंदी तथा अँग्रेज़ी दोनों भाषाओं में लेखन। लखनऊ आकाशवाणी और लखनऊ महोत्सव में नियमित रूप से काव्य-पाठ। उत्तर प्रदेश हिंदी संस्थान के 'सर्वश्रेष्ठ कविता पुरस्कार' से सम्मानित। तकरीबन 20 सालों से मुंबई में रहते हुए विज्ञापन, सिनेमा और टेलीविजन के क्षेत्र में लगातार काम। मशहूर फिल्म निर्माता राकेश ओमप्रकाश मेहरा (रंग दे बसंती फेम) के अस्सिटेंट के रूप फिल्म निर्माण का अनुभव। बच्चों के धारावाहिकों के लिए गीत लिखे। जीवन का एक बड़ा और महत्वपूर्ण हिस्सा टेलीविजन इंडस्ट्री की लगभग सभी बड़ी कंपनियों जैसे ज़ी नेटवर्क, सहारा वन, कलर्स, सोनी एंटरटेनमेंट टेलीविजन में काम करते बीता है। हिंदी के अनेक प्रसिद्ध धारावाहिकों के निर्माण का हिस्सा रही जिसमें सर्वाधिक लंबे समय तक चलने वाला धारावाहिक 'बालिका वधु' भी शामिल है। वर्तमान में कई टीवी धारावाहिकों के पटकथा प्रमुख (script head) के रूप में कार्यरत।."
994,27314,Books,Rugby 15-Nla
995,27321,Books,"Eccolo World Traveler Rugby Stripe, Journal (K301A) Keep an Eccolo journal with you so you'll have a place to capture your dreams, to make plans, or even to keep track of that to do list. Complimenting their luxurious Made in Italy products, Eccolo's World Traveler collection brings exciting finds from around the world to you. Using local techniques, World Traveler products keep with Eccolo's belief in importing only the highest quality merchandise. By using sourcing expertise and their offices in Brooklyn, New York and overseas, Eccolo can continue to share quality products and fine workmanship from around the world."
996,27322,Books,"The Wit of Cricket: Stories from Cricket's best-loved personalities Book Description The funniest collection of cricket anecdotes, jokes and stories from the game's best-loved personalities that no cricket fan should be without. 				    	 					 About the Author Barry Johnston appeared with the vocal group Design on over fifty TV shows in the 1970s. He presented the breakfast show on KLOA-AM in California and has broadcast regularly on BBC radio. He now runs Barn Productions and has produced more than eighty audiobooks including the number one bestsellers AN EVENING WITH JOHNNERS and THE WIT OF CRICKET. He has also edited several books and is the author of biographies of Kenneth Horne and of his father, Brian Johnston."
997,27360,Books,"India's Ancient Past About the Author About the Author: The author of India's Ancient Past, R. S. Sharma, was an eminent historian, who taught at Patna University, University of Toronto and Delhi University as well. He was able to publish 115 books, throughout his life, which were translated into fifteen languages. He was the Head of Departments of History at Delhi and Patna Universities and was also the Chairman of the Indian Council of Historical Research. He was considered to be a master of epigraphy, literary texts and archaeological texts, which made his writing interesting and enlightening."
998,27399,Books,"The New Middle East: The World After the Arab Spring Review “Danahar weaves a complex narrative into a lively, accessible read, much of which should withstand the passage of time . . . A solid but easygoing compendium for anyone who wants a read beyond the headlines, done with a journalistic lightness of touch.” ―Daily Telegraph“The optimistic take on the Arab revolution, though, is that the coups and massacres are part of a messy process that will eventually lead to more democratically responsive societies. This argument threads its way through Danahar's remarkable analysis of the Arab Spring . . . This is a book that tries to engage with people who can speak for everyone in the Spring, from Brotherhood activists . . . to Israeli and Egyptian generals. It is written in a spirit of adventure . . . And is all the better for it.” ―The Times“A timely exploration of an unstable region still on the brink of change and revolution.” ―Traveller“Are you confused by the welter in the Middle East, headlines crowded with revolution and coup, Islamism, civil war and resurgent jihad? May I recommend Paul Danahar's excellent regional survey, The New Middle East: The World After the Arab Spring? Danahar is the BBC's Middle East bureau chief, experienced and clear eyed. His style is crisp and elegant, equally adept at telling human portraits as interviewing generals and presidents and sketching historical context . . . The events of the Arab Spring and its aftermath will continue to defy prediction; but in the meantime, it's worth reading Danahar to take stock of some of the geopolitical tectonic shifts and the forces that are remaking our old assumptions.” ―Prospect“He reports perceptively on the internal contradictions of the Jewish state, from militant settlers to the ultraorthodox Haredim.” ―Guardian About the Author Paul Danahar is the BBC's Middle East Bureau Chief and ran the organization's news coverage of the Arab Spring. He has reported from Iraq, Iran and North Korea--every nation in the ""Axis of Evil."" In 2013 he was appointed the BBC's North America Bureau Chief, based in Washington, DC. Follow him at @pdanahar."
999,27415,Books,Selected Short Stories: Rabindranath Tagore (Oxford Tagore Translations Series) 
1000,27478,Books,L'Eschole Francoise: Pour Apprendre A Bien Parler Et Ecrire Selon l'Usage de Ce Temps Et Pratique Des Bons Autheurs (Classic Reprint) 
1001,27542,Books,"See It and Say It in Spanish: A Beginner's Guide to Learning Spanish the Word-and-Picture Way About the Author Margarita Madrigal (May 15, 1912 – July 23, 1983) was a Costa Rican American author and language teacher. During her career, she wrote 25 books covering seven languages."
1002,27582,Books,"The Cat in the Hat’s Learning Library Review “[Dr. Seuss] has…instilled a lifelong love of books, learning and reading [in children]” –The Telegraph“Dr. Seuss ignites a child’s imagination with his mischievous characters and zany verses” – The Express“The magic of Dr. Seuss, with his hilarious rhymes, belongs on the family bookshelf” – Sunday Times Magazine“The author… has filled many a childhood with unforgettable characters, stunning illustrations, and of course, glorious rhyme” – The Guardian About the Author Theodor Seuss Geisel – better known to his millions of fans as Dr. Seuss – was born the son of a park superintendent in Springfield, Massachusetts, in 1904. After studying at Dartmouth College, New Hampshire and later at Oxford University in England, he became a magazine humorist and cartoonist and an advertising man. He soon turned his many talents to writing children’s books and his first book – ‘And to Think That I Saw It on Mulberry Street’ – was published in 1937. His greatest claim to fame was the one and only ‘The Cat in the Hat’, published in 1957, the first of a successful range of early learning books known as Beginner Books."
1003,27584,Books,"Luna Loves Library Day Review ""This is a touching reflection on the power of reading to bring families together; Fiona Lumbers’ illustrations convey Luna’s vivid inner life, while Coelho’s lyrical style celebrates the joyful curiosity of early childhood."" (Amnesty International)""An ode to love and different kinds of families, with lyrical text and richly coloured, warm illustrations."" (Irish Independent, Best Books of 2017)""A lovely book about the power of libraries to stoke the imagination... Never doubt the power of a book, nor the essential importance of a library to the soul of a community"" (Early Years Educator)""An affectionate, loving and gentle story that approaches the subject of separated/divorced parents, brilliant accompanied by spot-on heartwarming illustrations, ensuring that, no matter what, children will feel loved."" (INIS)""A truly lovely story... a great read for children whose parents are separated or who are going through a divorce"" (Storytime Magazine, Book of the Month) 				    	 					 About the Author Joseph Coelho (Author)  Joseph Coelho is a performance poet, children’s author, playwright and winner of the Centre for Literacy in Primary Education Poetry Award 2015 for his debut poetry collection Werewolf Club Rules (Frances Lincoln, 2014). Joe has written plays for the Polka Theatre, Soho Theatre and the Unicorn Theatre and creates dynamic poetry theatre pieces for young people that he tours nationally. He also performs with the UK's top performance poetry organisation, Apples and Snakes, visiting venues across the UK. Joseph has also been a guest poet on Cbeebies’ Rhyme Rocket.Fiona Lumbers (Illustrator)  Fiona has drawn on anything and everything from an early age and always insisted she would be an artist when she grew up. Fiona moved to London in 2000 to study for an MA in Painting at the Royal College of Art. A combination of her obsession with picture books and the arrival of her first son led her down the path of illustration and she hasn't looked back since. othing makes her happier than splashing watercolours and inks and conjuring up new characters - often influenced by the exploits of her two sons."
1004,27606,Books,A History of American Literature 
1005,27619,Books,"A History of American Literature Review ""Richard Gray's real achievement is somehow to have compressed more than 400 years of thrillingly rich literary history between two covers."" Literary Review ""This book is the first comprehensive, single volume history of American literature since The Columbia Literary History of the United States edited by Elliott Emory and published sixteen years ago. It is a puzzle, given the extraordinary interest in American literature at home and abroad, that so few full histories of American literature have been published. Consider the fact that the Columbia history arrived nearly four decades after R. E. Spiller's Literary History of the United States. What makes Gray's book so extraordinary is that it supercedes the Spiller and Emory texts in nearly every respect, and even challenges the supremacy of the titanic (this pun is intentional), multi-volume, still-evolving Cambridge History of American Literature. How Gray managed to so captivatingly capture the depth and breadth of so complex a literature in under a thousand pages is worth considering. [...] Richard Gray possesses the most balanced scholarship of the entire range of American literature I ever read. [...] This is the first history of American literature fully worthy of the multi-dimensionality of its subject."" Norman Weinstein, Boise State University 				    	 					 From the Back Cover First published in 2004, A History of American Literature is one of the most popular and critically acclaimed surveys of American literature from pre-Columbian times to the present available today. This widely anticipated second edition features a wealth of fresh updates and new material, including a detailed survey of the fiction, drama, and poetry written in response to 9/11 and the war on terror. Other additions include coverage of the cultural consequences of the new era in American politics ushered in by the election of President Obama, and the development of new literary and cultural movements such as the New Formalists.Written in an informed and approachable style by Richard Gray, one of the leading authorities in the field, this survey helps the reader develop a deeper understanding of and insight into the immense breadth of American literary traditions within the context of American social and cultural history. While focusing on the full range of fiction, poetry, drama, and non-fiction that has been incorporated into the mainstream literary canon, Gray also considers popular American literary traditions such as oral literature, folktales, spirituals, Westerns, detective stories, thrillers, and science fiction.Compelling and authoritative, A History of American Literature, Second Edition, continues its tradition of representing an unparalleled introduction to the full breadth and diversity of the American literary tradition.              See all Product description"
1006,27633,Books,"On Writing Review ""The Plain Dealer"" (Cleveland)The best book on writing. Ever! ""USA Today""A fascinating look at the evolution and redemption of one of the hardest-working storytellers writing today. ""The Washington Post Book World""Combines autobiography and admonition, inspirations and instruction. It's an enjoyable mix. ""The Washington Post Book World""Combines autobiography and admonition, inspirations and instruction. It's an enjoyable mix. ""USA Today""A fascinating look at the evolution and redemption of one of the hardest-working storytellers writing today. ""The Plain Dealer"" (Cleveland)The best book on writing. Ever! 				    	 					 About the Author Stephen King is the author of more than fifty books, all of them worldwide bestsellers. His recent novel 11/22/63 was named a top ten book of 2011 by The New York Times Book Review and won the Los Angeles Times Prize. He is the recipient of the 2003 National Book Foundation Medal for Distinguished Contribution to American Letters. He lives in Bangor, Maine, with his wife, novelist Tabitha King."
1007,27809,Books,"Book on Acting: Improvisation Techniques for the Professional Actor in Film, Theater & Television Review Improvisation is essential to acting and Book is a terrific teacher. -- William Hurt  From the Publisher A new technique for improvising performances with scripted and memorized lines. The ability to improvise a skilled performance while speaking scripted and memorized lines is of paramount importance to actors working in todays film and television productions, which often allow very little if any rehearsal time. Through his innovative Improvisation Technique, Stephen Book shows the actor how to create a spontaneous performance by applying improvisation to traditional script-acting for film, theater, and television. Book on Acting begins with immediate training in how to improvise. Books fundamental principle of improvisation is ""Acting is doing, and there is always more to do."" The actor learns what to do to keep himself in a spontaneous improvisational state. This Improvisation Technique is then applied to exercises with scripted lines, developing sophisticated improvisation skills for enhancing character, emotions, conflict, and agreement as well as improving the actors audition process. Also included is a unique process for breaking down scripted scenes into improvisation choices. Book on Acting contains film and television scenes in which Book-coached actors, used his Improvisation Technique to create their performances. These scenes, showing the actors performance choices, demonstrate the use of Improvisation Technique in different genres of acting. Well-known theater and film scenes are included, as well as scenes from such TV shows as Melrose Place, Star Trek: Voyager, L.A. Law, Frasier, and The Practice. Books Improvisation Technique extends the work of Viola Spolin (author of Improvisation for the Theater). Book was Spolins student, assistant, representative, and her partner in the Spolin Theater Game Center in Hollywood, where he served as executive director and principal teacher in the 1970s. 				    	 					              See all Product description"
1008,27829,Books,"The Mind-Gut Connection: How the Hidden Conversation Within Our Bodies Impacts Our Mood, Our Choices and Our Overall Health Review “The Mind-Gut Connection presents the incredibly humbling reality that our very perception and interpretation of the world around us is virtually dictated by the microbes living within us. This book redefines what it means to be healthy and eloquently provides the means to manifest that goal.” (David Perlmutter, MD, author of the #1 New York Times bestseller Grain Brain and Brain Maker)“Drawing on his vast experience as a practicing gastroenterologist, Dr. Mayer writes about the connections that our brains have with our guts, especially with the microbes that make the gut their home. Describing a rapidly advancing realm of knowledge, this thoughtful guide provides practical advice to improve health.” (Martin J. Blaser, MD, author of Missing Microbes)“Dr. Emeran Mayer elucidates the intricate biochemical dialogue that occurs between the brain, digestive tract, and trillions of bacteria residing in the gut. He dubs this form of communication ‘microbe-speak’ and speculates on its implications for social behavior, decision making, emotional wellbeing, and maybe mental health.” (Booklist)“After a long period of neglect the enteric nervous system has been recognized as the ‘second brain’. Dr. Emeran Mayer, a true expert of this topic, has now written the best lay-public guide yet to this spectacular part of ourselves. Recommended reading.” (Antonio Demasio, author of Descartes’ Error, The Feeling of What Happens, and The Self Comes to Mind)“I have known Emeran Mayer for years and have learned to pay attention to what he says and writes. The Mind-Gut Connection is a delight. Both scholarly and fun to read, I highly recommend it to anyone interested in learning more about how the mind and gut communicate.” (Michael D. Gershon, MD, author of The Second Brain)“Microbiome research is revolutionizing our understanding of the human body and the brain. In The Mind-Gut Connection, Dr. Emeran Mayer provides authoritative insight into this rapidly expanding field. Synthesizing recent research with patient stories and personal anecdotes, he offers practical, evidence-based recommendations to keep the dialogue between the brain, the gut, and its microbes flowing smoothly.” (Rob Knight, PhD, author of Follow Your Gut and director of the Center for Microbiome Innovation, UC San Diego)“The Mind-Gut Connection is a revolutionary new holistic view of what keeps us healthy, ranging from the food choices we make to the ways we can train our mind, with the ultimate goal of attaining optimal health. ” (Kenneth R. Pelletier, PhD, MD, Clincal Professor of Medicine and Professor of Public Health, University of California School of Medicine (UCSF))“Microbiome research is revolutionizing our understanding of the human body and the brain. In The Mind-Gut Connection, Dr. Emeran Mayer provides authoritative insight into this rapidly expanding field. Synthesizing recent research with patient stories and personal anecdotes, he offers practical, evidence-based recommendations to keep the dialogue between the brain, the gut, and its microbes flowing smoothly.” (SELF online) 				    	 					 From the Back Cover Chances are, at some point in your life you’ve noticed the connection between your brain and your gut. If you’ve ever felt queasy as you walked into an uncomfortable situation or based a life decision based on a “gut feeling,” then you know that sometimes our bodies react faster than our minds. Most of us have also experienced the same phenomenon in reverse, where our mental state has affected our digestive system—like the butterflies in our stomach before an important meeting or a first date. But while the dialogue between the mind and the gut has been recognized by ancient healing traditions for centuries, scientists today are just starting to understand how powerful and far-reaching that connection is.In The Mind-Gut Connection, Dr. Emeran Mayer offers a cutting-edge view into this developing science, showing us the full impact of how the brain, gut, and microbiome—the community of microorganisms that lives inside the digestive tract—communicate. When this communication system is out of balance, major health problems can crop up, including digestive disorders, obesity, depression, anxiety, food sensitivities, allergies, and fatigue.With a few simple changes to our diet and lifestyle, we can enjoy a happier mind-set, enhanced immunity, a decreased risk of developing neurological diseases such as Parkinson’s and Alzheimer’s, and even lose weight. With a simple, practical regimen drawn from forty years of clinical practice and the latest research, Dr. Mayer shows us that paying attention to the mind-gut balance is the key to unlocking vibrant health.               See all Product description"
1009,27865,Books,"Sherlock Holmes: The Complete Novels and Stories - Vol. 1 Review From the Inside FlapSherlock HolmesThe Complete Novels and StoriesVolume ISince his first appearance in Beeton?s Christmas Annual in 1887, Sir Arthur Conan Doyle?s Sherlock Holmes has been one of the most beloved fictional characters ever created. Now, in two paperback volumes, Bantam presents all fifty-six short stories and four novels featuring Conan Doyle?s classic hero--a truly complete collection of Sherlock Holmes?s adventures in crime!Volume I includes the early novel A Study in Scarlet, which introduced the eccentric genius of Sherlock Holmes to the world. This baffling murder mystery, with the cryptic word Rache written in blood, first brought Holmes together with Dr. John Watson. Next, The Sign of Four presents Holmes?s famous ?seven percent solution? and the strange puzzle of Mary Morstan in the quintessential locked-room mystery. Also included are Holmes?s feats of extraordinary detection in such famous cases as the chilling ? The Adventure of the Speckled Band,? the baffling riddle of ?The Musgrave Ritual,? and the ingeniously plotted ?The Five Orange Pips,? tales that bring to life a Victorian England of horse-drawn cabs, fogs, and the famous lodgings at 221B Baker Street, where Sherlock Holmes earned his undisputed reputation as the greatest fictional detective of all time.  From the Publisher Since his first appearance in Beeton's Christmas Annual in 1887, Sir Arthur Conan Doyle's Sherlock Holmes has been one of the most beloved fictional characters ever created. Now, in two volumes, this new Bantam edition presents all 56 short stories and 4 novels featuring Conan Doyle's classic hero -- a truly complete collection now available in paperback! Volume I includes the early novel, A Study In Scarlet, that introduced the eccentric genius of Sherlock Holmes to the world. This baffling murder mystery, with the cryptic word Rache written in blood, first brought Homes together with Dr. John Watson. Next, The Sign Of Four presents Holmes's famous ""seven percent solution"" and the strange puzzle of Marry Mortson in the quintessential locked room mystery. Also included are Holme's feats of extraordinary detection in such famous cases such as the chilling Adventure Of The Specked Band, the baffling riddle of The Musgrave Ritual, and the ingeniously plotted The Five Orange Pips, tales that bring to life a Victorian England of horse-drawn cabs, fogs, and the famous lodgings at 221B Baker Street, where Sherlock Holmes earned his reputation as the greatest fictional detective of all time. 				    	 					              See all Product description"
1010,27889,Books,"A Pelican Book: Object-Oriented Ontology (Pelican Books) About the Author Graham Harman is Distinguished Professor of Philosophy at SCI-Arc, Los Angeles (on leave from the American University in Cairo). A key figure in the contemporary speculative realism movement in philosophy and for his development of object-oriented ontology, he was named by Art Review magazine as one of the 100 most influential figures in international art."
1011,27900,Books,"Ethics, Integrity and Aptitude English for Civil Services Examination "
1012,27974,Books,"Teach Yourself To Think Review An inspiring man with brilliant ideas. De Bono never ceases to amaze with his clarity of thought. (Richard Branson) 				    	 					 From the Back Cover The classic work of intelligent self-empowermentOur happiness and success depend on clear thinking. But too many of us are compromised by confusion, trying to do too much at once, and not knowing what to do next.In Teach Yourself to Think, Edward de Bono shows that good thinking depends on a simple five-stage process that anyone can learn if they try. It will enable you to assess your goals, sort available information, identify the available choices, make a decision and, finally, turn thought into action.This book offers brilliant advice for anyone who needs to be able to respond to and deal with a vast range of situations at work and in life quickly, efficiently and intelligently.              See all Product description"
1013,28056,Books,"Classmate Drawing Book - A4, Soft Cover - Pack of 12 Classmate is India's No. 1 Notebook brand. Its range of more than 300 variants is custom made to take care of varying needs in notebooks, long books, practical books, drawing books & reminder pads segments. These notebooks reach more than 65,000 outlets across the country."
1014,28058,Books,"Bianyo Artist Quality Sketch Pad - Acid Free. 160 GSM. A4 Size. 35 Sheets Size:A4   The Perfect Sketch Pad For The Artist in All of Us. Enjoy drawing and sketching with this Premium quality sketch pad. Measuring 297 X 210 mm, it is the perfect art pad to take with you on field trips or walks and lets you capture interesting subjects that catches your eye. The A4 sketch pad has 35 Acid-free, Textured, Warm White pages of 160 gsm. Suitable for use with pastels, charcoal and pencils. So the next time you head out on a ramble or stroll, or if you are planning to go out and sketch the landscape, be sure to have this A4 Sketch Pad with you to capture the places, nature and views that you see along the way. Great gift for all ages."
1015,28060,Books,"Skoodle Alt Page Sketch Book Ideal for home and school use. Ideal for gifting to some one special. Description : Sketch book, alt page, hc."
1016,28068,Books,"Little Artist Series Fruits: Copy Colour Books About the Author Wonder House has a dedicated team of editors and designers involved in the development of magnificent and enriching children books. The team pays special attention to develop age appropriate content and does extensive research on every topic included in the book. Our mission is to develop highly informative content which will help the children to master different skills. At Wonder House, we strive to make learning a joy."
1017,28075,Books,Copy Colour: Animals (Copy Colour Books) 
1018,28082,Books,"Majestic Animals: Colouring Books for Adults with Tear Out Sheets (Adult Colouring Book) About the Author Wonder House has a dedicated team of editors and designers involved in the development of magnificent and enriching children books. The team pays special attention to develop age appropriate content and does extensive research on every topic included in the book. Our mission is to develop highly informative content which will help the children to master different skills. At Wonder House, we strive to make learning a joy."
1019,28094,Books,"Nature, Garden and Forest: Colouring Books for Adults with Tear Out Sheets (Adult Colouring Book) About the Author Wonder House has a dedicated team of editors and designers involved in the development of magnificent and enriching children books. The team pays special attention to develop age appropriate content and does extensive research on every topic included in the book. Our mission is to develop highly informative content which will help the children to master different skills. At Wonder House, we strive to make learning a joy."
1020,28097,Books,"Fun with Colouring Books by InIkao Set of 6 A Set of 6 A4 Size Colouring Books., with cartoon character colouring. Full Page coloured images for see and colouring. Inspires kids with attractive cartoon pictures."
1021,28171,Books,Think & Grow Rich - Lectures by Napoleon Hill [MP3]
1022,28174,Books,"Constitutional Law I in Tamil (Background, Philosophy, Fundamental Rights and Fundamental Duties)/(அரசியலமைப்பு சட்டம் I - பின்னணி, தத்துவம், அடிப்படை உரிமைகள் மற்றும் அடைப்படை கடமைகள்)/Descriptive Answers, Short Notes, Solutions to Problems and Relevant Case Laws அரசியலமைப்பு சட்டம் I என்ற இந்த அருமையான நூலில் ஆசிரியர் டாக்டர் பி.ஆர்.ஜெயராஜன் அவர்கள் நமது இந்திய அரசியலமைப்பின் பின்னணி, தத்துவம், அடிப்படை உரிமைகள் மற்றும் அடைப்படை கடமைகள் பற்றி மிக அழகாக அவருக்கே உரித்த எளிய சட்டத் தமிழில் திறம்பட விளக்கியுள்ளார். குறிப்பாக இந்திய அரசியலமைப்பின் கீழ் குடிமக்களுக்கு வழங்கப்பட்டுள்ள பல்வேறு அடிப்படை உரிமைகள் மற்றும் கடமைகள் பற்றி மிக விரிவாக, வழக்கு வழி சட்டங்களுடன் நம் முன் வைத்துள்ளார். இந்த நன்னூல் சட்டக்கல்லூரி தேர்வுகள், சிவில் சர்விஸ் மற்றும் போட்டித் தேர்வுகளுக்கு பன்னெடுங்காலமாக பயன் தந்து வருகின்றது. அந்த வகையில் தற்போது வெளிவந்திருக்கும் 3-ஆம் பதிப்பும் சம்பந்தப்பட்ட தேர்வர்களுக்கு நிச்சயம் பயன் தரும்."
1023,28188,Books,Constitution of India constitution
1024,28189,Books,CONSTITUTIONAL LAW OF INDIA Product Condition: Pen / Pencil Marks.
1025,28200,Books,M P Jain Indian Constitutional Law 
1026,28218,Books,"Criminal Manual: Cr.P.C., I.P.C. & Evidence (with Free Guide to Criminal Pleadings - Model Forms) "
